,Link,Title,Price,Details,Rating,TItle
74,https://www.airbnb.co.in/rooms/551035820993150942?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹14,437 per night",1 bed,4.67,Apartment in Honolulu
75,https://www.airbnb.co.in/rooms/28642163?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹13,583 per night, originally ₹14,606",1 queen bed,4.36,Apartment in Honolulu
76,https://www.airbnb.co.in/rooms/547262530563127251?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹12,841 per night, originally ₹14,415",1 queen bed,4.92,Apartment in Honolulu
77,https://www.airbnb.co.in/rooms/548692423662210825?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹18,971 per night",1 king bed,4.93,Apartment in Honolulu
78,https://www.airbnb.co.in/rooms/49656026?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹11,011 per night",2 beds,4.69,Flat in Honolulu
79,https://www.airbnb.co.in/rooms/548207362764055243?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹12,785 per night",1 bed,5.0,Apartment in Honolulu
80,https://www.airbnb.co.in/rooms/25144659?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=b0288b2d-4486-4cad-9cb8-3a42023443bf,,"₹12,863 per night",2 beds,4.92,Apartment in Honolulu
81,https://www.airbnb.co.in/rooms/546106714814043926?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹21,278 per night, originally ₹23,560",1 king bed,5.0,Apartment in Honolulu
82,https://www.airbnb.co.in/rooms/645494231327728554?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹15,536 per night",1 bed,New,Hotel room in Honolulu
83,https://www.airbnb.co.in/rooms/51088363?adults=2&check_in=2022-07-20&check_out=2022-07-21&previous_page_section_name=1000&federated_search_id=045aaf5a-c9e7-4828-b5b5-78e932fc2bb0,,"₹23,613 per night",2 beds,4.88,Apartment in Honolulu
